,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_002084_01G000400,-0.00012302399,0.11785054,0.16733605,0.67121947,0.7211009,0.09006524
TraesCAD_scaffold_069972_01G000200,-0.00022006035,0.56439817,0.60977703,0.6287062,0.61229277,-0.0068570375
TraesCAD_scaffold_095177_01G000100,-0.06230867,-0.3622954,-0.102807164,0.04335165,0.06174016,0.106137455
TraesCAD_scaffold_064130_01G000200,-0.020402074,-0.29283237,-0.32747495,-0.4498639,-0.5169313,-0.13763821
TraesCAD_scaffold_064357_01G000100,-0.020071507,-0.73524845,-0.7236414,-0.68514645,-0.29507017,-0.08946347
TraesCAD_scaffold_061524_01G000200,-2.7656555e-05,0.38459766,0.38678628,0.65539926,0.6219818,-0.046668768
TraesCAD_scaffold_013194_01G000100,-0.007054329,-0.106087446,-0.106087446,-0.3070377,-0.25316024,-0.108180285
TraesCAD_scaffold_132648_01G000100,-0.005157709,-0.07012117,-0.07012117,0.2895661,0.24122798,0.09716672
TraesCAD_scaffold_045758_01G000600,-0.00022399426,0.05435562,0.060809612,0.063916564,0.08163655,-0.07169092
TraesCAD_scaffold_030515_01G000100,-0.0032954216,-0.15138495,-0.15138495,-0.13237643,-0.021901488,-0.023232818
TraesCAD_scaffold_089821_01G000200,-8.535385e-05,-0.30435228,-0.3043524,0.67753196,0.7127522,-0.048517466
TraesCAD_scaffold_085800_01G000100,-0.0008111,-0.2915671,-0.2915671,-0.4104241,-0.781152,-0.06472862
TraesCAD_scaffold_003528_01G000100,-0.0003721714,-0.26833642,-0.2685765,-0.1313709,-0.083648086,0.096446276
TraesCAD_scaffold_093184_01G000100,-0.00014650822,-0.01754117,-0.022555232,-0.24477232,-0.27298164,-0.019843936
TraesCAD_scaffold_005286_01G000100,-3.695488e-06,-0.34622324,-0.14924741,0.22542626,0.30423874,0.0031049252
TraesCAD_scaffold_000492_01G000300,-0.2785014,0.015894055,0.015894175,0.79394054,0.64904857,0.47714263
TraesCAD_scaffold_106075_01G000100,-0.0003193617,0.18968797,0.18968791,0.23160815,0.27374816,0.24323803
TraesCAD_scaffold_511180_01G000200,-0.0030766726,-0.83904207,-0.83904207,-0.44809282,-0.45645678,-0.029508233
TraesCAD_scaffold_866493_01G000100,-0.0002090931,-0.2711221,-0.26758695,-0.024964333,-0.08896887,0.06409067
TraesCAD_scaffold_081369_01G000100,-0.51783943,0.19146943,0.19146943,0.667263,0.64107466,-0.48162532
TraesCAD_scaffold_083732_01G000100,-0.0006867647,-0.051054835,-0.051054835,0.13894916,0.12632465,-0.0476979
TraesCAD_scaffold_049499_01G000100,-0.10236406,0.045868635,0.045868635,0.040697515,-0.13660991,-0.12765479
TraesCAD_scaffold_109122_01G000100,-0.0002746582,0.018706381,0.018706262,0.6370539,0.6421224,0.01464206
TraesCAD_scaffold_048508_01G000400,-0.0008016825,-0.694283,-0.694283,-0.85546374,-0.9940357,-0.2039746
TraesCAD_scaffold_008068_01G000100,-0.0069190264,-0.37598073,-0.37598085,0.18836498,0.19557828,0.02659291
TraesCAD_scaffold_082443_01G000300,-0.00047528744,-0.1669476,-0.1669476,-0.26166677,-0.35012543,-0.0037947893
TraesCAD_scaffold_016160_01G000300,-0.0020637512,-0.37745047,-0.37745047,-0.17713606,-0.3873695,0.13091135
TraesCAD_scaffold_092010_01G000100,-0.006862402,0.023417115,0.17304361,0.7512426,0.8128344,-0.07489824
TraesCAD_scaffold_107860_01G000100,-0.0038924217,0.27297634,0.27269423,0.4587856,0.47587913,-0.064612985
TraesCAD_scaffold_018210_01G000300,-2.3841858e-07,-0.46912646,-0.5509441,-0.206213,-0.44768882,0.27375835
TraesCAD_scaffold_094174_01G000200,-0.00037109852,-0.46423292,-0.46423292,-0.21333241,-0.2095406,-0.03739977
TraesCAD_scaffold_028756_01G000100,-0.0002052784,0.20619184,0.20619184,0.648041,0.6323147,0.26692718
TraesCAD_scaffold_013124_01G000600,-0.0321728,-0.19558883,-0.15651977,0.045454025,0.024576783,-0.12862027
TraesCAD_scaffold_083311_01G000200,-0.0026807785,-0.15343451,-0.077001214,0.5477809,0.6145365,-0.11560309
TraesCAD_scaffold_057435_01G000100,-0.30532408,-1.1783779,-1.1783779,-0.54777503,-0.074394345,-0.5099944
TraesCAD_scaffold_112916_01G000200,-0.0009331703,-0.87552667,-0.8843503,-0.6469642,-0.93201005,-0.026981354
TraesCAD_scaffold_024157_01G000400,-1.9788742e-05,-0.32922268,-0.239761,0.26481366,0.27145046,0.18963724
TraesCAD_scaffold_076583_01G000300,-2.4914742e-05,-0.85735095,-0.85735095,-0.74118257,-0.8942517,0.056132495
TraesCAD_scaffold_013001_01G000100,-0.00075984,0.03516537,0.04010904,-0.023665905,-0.08219004,0.035039127
TraesCAD_scaffold_009095_01G000100,-0.00012481213,-1.2418225,-1.243335,-1.0708725,-1.1049366,-0.09877169
TraesCAD_scaffold_038598_01G000200,-0.0016351938,-0.008571982,-0.012425184,0.7500255,0.8061181,-0.05095601
TraesCAD_scaffold_058982_01G000100,-0.00036144257,0.38246328,0.38246328,0.48682004,0.4375615,0.15029228
TraesCAD_scaffold_111205_01G000200,-0.0040854216,0.07753801,0.077537954,-0.23647106,-0.49492812,0.045452893
TraesCAD_scaffold_024316_01G000100,-0.00027227402,-0.06020832,-0.09222317,-0.1061064,-0.07844508,-0.04443872
TraesCAD_scaffold_058313_01G000200,-0.003779173,-0.23500025,-0.23500025,-0.22879136,-0.37115467,-0.055259585
TraesCAD_scaffold_006049_01G000200,-0.0070312023,0.11896831,0.11896843,-0.20242381,-0.4524474,-0.08714378
TraesCAD_scaffold_008792_01G000500,-0.00025558472,0.025208056,-0.0013054609,-0.25571024,-0.34546375,-0.0838964
TraesCAD_scaffold_121998_01G000100,-0.002547741,-0.622288,-0.6222881,-0.8474698,-1.0197291,-0.12628269
