,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_086159_01G000100,-0.023681164,0.043209195,0.14086658,-0.100924134,-0.02290225,-0.07109177
TraesCAD_scaffold_013124_01G000600,-0.108628154,-0.4160868,-0.4160868,-0.6784158,-0.39803672,-2.2483878
TraesCAD_scaffold_355968_01G000300,-0.00080788136,-0.4687289,-0.46872926,-0.5529171,-1.0124598,-0.11647999
TraesCAD_scaffold_014294_01G000500,-0.86906624,-1.1210117,-1.121011,0.47028077,0.7678452,-0.45908916
TraesCAD_scaffold_082992_01G000200,-0.011164308,0.022436678,0.25168812,-0.59745026,-0.31677914,-0.087129
TraesCAD_scaffold_045667_01G000200,-0.54173553,-0.5682285,-0.5682285,0.59219193,0.4836629,-1.3192656
TraesCAD_scaffold_013482_01G000400,-0.0012311935,0.1004284,0.1004284,0.45849782,0.40740418,-0.085672855
TraesCAD_scaffold_252521_01G000200,-0.003939271,-0.1624173,-0.1624173,-0.15091372,-0.40030026,-0.09235883
TraesCAD_scaffold_017928_01G000100,-0.49088192,-0.7803087,-0.7803087,-0.1658839,-0.70020235,-0.41315317
TraesCAD_scaffold_061970_01G000200,-0.82807744,-0.84171927,-0.84171927,0.7090857,0.84528077,-0.77622986
TraesCAD_scaffold_011934_01G000300,-0.67925775,-0.9582753,0.43975103,0.64930075,0.61710083,-0.12718141
TraesCAD_scaffold_083732_01G000100,-0.041692734,0.0114218,0.0114218,0.09737295,-0.71609926,-0.3020916
TraesCAD_scaffold_013596_01G000100,-0.035801172,0.14888096,0.14888096,-1.1085064,-0.6204461,-0.087331414
TraesCAD_scaffold_107073_01G000400,-0.007898331,-0.0976547,-0.0976547,-1.4613242,-2.8667824,-0.0011342764
TraesCAD_scaffold_092010_01G000100,-0.9244343,-1.331522,-1.331522,0.29255992,0.82771385,-1.3297155
TraesCAD_scaffold_013881_01G000200,-0.011801362,-0.15663004,-0.15663004,-1.2136924,-0.11812127,-0.0719825
TraesCAD_scaffold_028756_01G000100,-0.018593192,0.11246723,0.11246723,0.2997383,-0.14682114,-0.1505816
TraesCAD_scaffold_014294_01G000600,-0.005124092,0.32368606,0.32368612,0.3345819,0.20296139,-0.0070291758
TraesCAD_scaffold_085577_01G000100,-3.886223e-05,0.24845135,0.24845135,-0.51065457,-0.26090014,0.07747078
TraesCAD_scaffold_003046_01G000100,-0.40221524,-0.31917405,-0.31917405,0.48134303,0.47076094,-1.0630987
TraesCAD_scaffold_013880_01G000300,-4.9114227e-05,-0.35190403,-0.35190403,-5.9433465,-3.036355,-0.12492514
TraesCAD_scaffold_097265_01G000300,-0.7843032,-1.8073511,-1.8073511,-18.910368,-9.653763,-0.80129063
TraesCAD_scaffold_048534_01G000100,-0.9243144,-1.179384,-1.179384,0.7990511,0.85588783,-2.5229108
TraesCAD_scaffold_031509_01G000100,-0.8058975,-0.860067,-0.860067,-45.887688,-12.5773,-5.67589
TraesCAD_scaffold_099474_01G000100,-0.026098013,-0.025387287,-0.025387287,0.3209651,-0.26468194,-0.042865038
TraesCAD_scaffold_003528_01G000100,-0.02953422,-0.12696373,-0.12696373,-0.30029154,-0.17301285,-0.041566133
TraesCAD_scaffold_018210_01G000400,-0.72867405,-0.5900507,0.68402946,0.65576196,0.60062945,-1.1177249
TraesCAD_scaffold_101586_01G000100,-0.013561487,-0.10788894,-0.10788882,0.7647698,0.66079056,0.16464555
TraesCAD_scaffold_071204_01G000100,-0.036720276,0.0588184,0.05881852,0.66388965,0.741866,0.11391705
TraesCAD_scaffold_005794_01G000200,-0.00034046173,-0.4638052,-0.4638052,-0.7336724,-1.1506033,0.009919941
TraesCAD_scaffold_045339_01G000500,-0.86821604,-1.1683788,0.8148243,0.8466073,0.7692557,-1.1242514
TraesCAD_scaffold_039756_01G000100,-0.006702304,-0.08104348,-0.08104348,-0.22883141,-0.26232052,-0.11891484
TraesCAD_scaffold_023661_01G000100,-0.0056989193,-0.21631742,-0.21631742,-0.69227827,-0.18072999,-0.072799325
TraesCAD_scaffold_107339_01G000100,-0.70110154,-1.4378304,-1.4378304,-2.2887175,-6.3211117,-2.0706308
TraesCAD_scaffold_038598_01G000200,-0.69536185,-0.9243996,-0.9243996,0.640631,0.53766876,-0.5301539
TraesCAD_scaffold_008954_01G000100,-0.37609112,0.10976553,0.10976535,-0.7009907,0.008984327,-1.5253391
TraesCAD_scaffold_047916_01G000200,-0.9833077,-1.3304665,0.9293483,0.94650894,0.9321859,-2.0067432
TraesCAD_scaffold_067098_01G000300,-0.1260482,-0.8082799,-0.8082799,-0.48324358,0.005311787,0.012535751
TraesCAD_scaffold_016614_01G000300,-0.0019987822,-0.50115013,-0.50115013,-1.0068913,-0.49660623,-0.01983893
TraesCAD_scaffold_013194_01G000100,-0.0062334538,-0.043090224,-0.043090224,-0.29289043,-0.31323814,-0.536662
TraesCAD_scaffold_122424_01G000300,-0.0003311634,-0.07302916,-0.1437372,0.031536996,-0.3725115,-0.036028624
TraesCAD_scaffold_011082_01G000100,-0.003639102,-0.0823822,-0.0823822,-2.4662626,-0.782629,-0.1792152
TraesCAD_scaffold_051953_01G000400,-0.6760886,-0.87772274,-0.20266831,0.39803565,0.31931138,-0.6090802
TraesCAD_scaffold_034971_01G000200,-0.52446735,-1.1742992,-1.1742992,0.1929143,-0.072194934,-0.24781752
TraesCAD_scaffold_017101_01G000100,-0.861995,-1.7979176,-1.7979176,0.021860063,0.6139522,-1.9985132
TraesCAD_scaffold_053930_01G000200,-0.0022844076,0.23612612,0.23612612,0.4554726,0.28576338,0.002743423
TraesCAD_scaffold_034388_01G000100,-0.31942928,-0.42028344,-0.42028344,-1.1477916,-1.5678971,-0.23873687
TraesCAD_scaffold_040962_01G000300,-0.88609767,-0.9413301,-0.94133043,0.8319103,0.8135778,-0.47470093
TraesCAD_scaffold_114029_01G000400,-0.054391384,0.4496584,0.4496584,-0.47568572,-0.0742259,-0.22297621
TraesCAD_scaffold_015845_01G000600,-0.03368628,-0.23894417,-0.23894417,-0.919268,-0.14466226,-0.98410106
TraesCAD_scaffold_109122_01G000100,-0.027496815,-0.033803582,-0.033803582,0.03228736,-0.54036796,-0.00467062
TraesCAD_scaffold_093814_01G000200,-0.0004285574,0.09261316,0.09261322,-0.38388193,0.23956865,0.1701535
TraesCAD_scaffold_071354_01G000100,-0.6696032,-0.55885255,-0.55885255,0.49128765,0.5112319,0.16474754
TraesCAD_scaffold_076246_01G000200,-0.2744007,-1.1062195,-1.1062198,-11.270724,-5.0233073,-0.13516998
TraesCAD_scaffold_004233_01G000200,-0.00096166134,0.12094915,0.12094915,-0.07701874,-0.09141922,0.047225058
TraesCAD_scaffold_001357_01G000300,-0.7158222,-0.9153727,0.095889926,0.4272328,0.24423027,-0.8168293
TraesCAD_scaffold_018291_01G000300,-0.00079238415,-0.09989917,-0.09989917,-0.53342414,-1.0064671,0.035483956
TraesCAD_scaffold_014298_01G000100,-0.001332283,-0.15713751,-0.15713751,-0.08884871,-0.13974524,-0.015745759
TraesCAD_scaffold_068862_01G000100,-4.7683716e-06,-0.058873773,-0.058873773,-2.3377094,-0.7409915,-0.26687813
TraesCAD_scaffold_075314_01G000100,-0.06421864,-0.03976798,-0.03976798,-0.8926126,-0.36207807,-0.19556296
TraesCAD_scaffold_002264_01G000100,-1.3113022e-06,-0.41198277,-0.41198277,-4.497342,-3.0173306,-0.15318274
TraesCAD_scaffold_048508_01G000400,-4.172325e-06,-0.42661893,-0.42661893,-0.9439827,-0.90250146,-0.3633784
TraesCAD_scaffold_111261_01G000100,-0.001337409,-0.5384791,-0.5496602,-3.1584597,-0.59731424,-0.10575628
TraesCAD_scaffold_003128_01G000300,-0.9685308,-1.1526697,-1.1526697,0.8720682,0.815385,-0.15519416
TraesCAD_scaffold_121998_01G000100,-0.0018774271,-0.42611814,-0.45884037,-0.2953509,-1.4708903,-0.18177724
TraesCAD_scaffold_009983_01G000100,-0.006244898,-0.16260624,-0.16260624,-0.66569793,-0.46861577,-0.0670594
