,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesNOR3D03G01994610,-0.002947569,-0.47931218,-0.47931218,-0.86216486,-0.2986418,-0.10826862
TraesNOR4D03G02546610,-0.20358837,-1.096792,-0.5562314,-1.3306766,-0.5406213,-0.9985684
TraesNOR4A03G02227030,-0.0006504059,-0.029648185,-0.029648304,0.31911194,0.39662576,0.17711115
TraesNORUn03G04636110,-0.0023065805,-0.14731646,-0.20215476,-0.5316677,0.041513324,-0.12234962
TraesNOR6B03G03611450,-0.0010654926,0.10874939,0.15489984,-0.3527367,-0.29169214,0.0822708
TraesNOR4B03G02359230,-0.00020289421,0.0795517,0.07955164,0.034061432,0.0354203,-0.06229639
TraesNOR6B03G03489580,-0.13337469,-0.12429869,-0.12429869,0.07068282,-0.08206475,-0.3500464
TraesNOR6B03G03497400,-0.00059354305,-0.2149651,-0.2149651,-0.32594442,-0.115213275,0.04237312
TraesNOR1D03G00516630,-0.001855135,-0.02327609,-0.019372225,-0.19487846,-0.24046004,0.08161652
TraesNOR3B03G01663310,-0.0012922287,-0.41352677,-0.413527,-0.51335657,-0.2024014,-0.19016063
TraesNOR7A03G04061520,-0.0011692047,0.13398272,0.12575966,0.75903994,0.7462009,-0.20114684
TraesNOR1A03G00122170,-0.0006992817,0.38384646,0.38328207,0.36674303,0.32304162,0.05958432
TraesNOR2B03G01041610,-0.00044369698,0.15833563,0.15833563,0.26736772,-0.028177142,-0.24795723
TraesNOR6A03G03298680,-0.014577866,-0.068504095,-0.040815473,-0.14948785,-0.09611535,-0.11226797
TraesNOR2D03G01308350,-0.0011229515,0.16498512,0.16498518,0.16071737,-0.057098866,-0.08120859
TraesNOR5B03G03017820,-0.000274539,0.04914701,0.04914701,-0.25144613,-0.06708038,-0.029374719
TraesNOR5D03G03196200,-5.00679e-06,0.143044,0.14071357,-0.65199864,-0.7107568,0.042557895
TraesNOR1D03G00523420,-0.005019188,-0.79376113,-0.79135525,-0.9556354,-0.7095902,-0.11430657
TraesNOR7A03G03851250,-0.0054004192,0.38068008,0.37972087,-0.13800073,0.10644007,0.04042524
TraesNOR5A03G02592790,0.0,0.09256798,0.09256798,-0.100685835,-0.029825687,-0.12397742
TraesNOR2A03G00626500,-0.0022414923,-0.50467515,-0.50467515,-0.49451804,-0.76091826,-0.10526848
TraesNOR4A03G02064950,-6.198883e-06,-0.08567679,-0.027599216,0.14229125,0.3481071,-0.0068501234
TraesNOR5A03G02735290,-0.00021016598,-0.62388945,-0.62388957,-0.03999901,0.40183127,-0.16066372
TraesNOR5B03G02894510,-0.5457268,-2.2918496,-2.2918496,-5.8211484,-4.169353,-1.6498768
TraesNOR2D03G01151340,-0.006915927,-0.53019285,-0.53019285,-0.2836194,-0.031007767,-0.009949684
TraesNOR7D03G04474430,-0.02926135,-0.47722733,-0.47722733,-0.8298185,-0.14760852,-0.14394653
TraesNOR5D03G03225400,-0.00025129318,0.41702527,0.47847992,0.91162246,0.90901154,0.11611438
TraesNOR1B03G00312280,-0.00041913986,-0.27756834,-0.27756858,0.5527142,0.5008074,0.071853936
TraesNOR1A03G00044350,-2.861023e-06,0.07809365,0.07809365,-0.3087139,-0.09461033,-0.09203231
TraesNOR4D03G02437960,-0.005399585,0.0034863353,0.008682609,-0.6842873,-0.23204684,-0.04766965
TraesNOR1B03G00236930,-0.0034217834,0.30825025,0.29159653,0.891746,0.8951281,0.32496548
TraesNOR2D03G01225590,-0.0019919872,0.056893826,0.068683624,-0.14320874,-0.5050844,-0.3061148
TraesNOR1B03G00234780,-0.007476568,0.21214497,0.14948255,0.5790436,0.5868999,0.015352309
TraesNOR6B03G03596030,-8.4519386e-05,0.06635052,0.178352,0.63989645,0.5837897,-0.137452
TraesNOR4D03G02517900,-0.002442956,-0.109865546,-0.10862017,0.10534382,0.06867671,-0.2900585
TraesNOR1D03G00549610,-0.088502884,-0.97535086,-0.96831894,-1.7452857,-0.56272495,-0.49627805
TraesNOR7D03G04360980,-9.536743e-07,-0.11164367,-0.11122131,-0.32562792,-0.11087632,-0.0817889
TraesNOR3B03G01567630,-0.0016373396,-0.29420698,-0.29420698,0.060526907,0.3968796,0.00045520067
TraesNOR3B03G01747650,-0.00031638145,0.20040315,0.16400099,0.09806234,-0.0014122725,-0.03123188
TraesNOR5D03G03156140,-0.42847264,-0.2979715,-0.29797137,-0.49037862,-0.4490143,-0.14588797
TraesNOR5D03G03187420,-0.010546565,0.37018996,0.37018985,0.10984284,0.07059121,0.10186142
TraesNORUn03G04612230,-0.008962154,0.0736087,0.0736087,0.20145708,0.41995597,0.05271089
